Keyword,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub. Year,Author,Title
ds9.si.edu,SAOImage DS9,0,with other packages such as DS9.66http:&#x2F;&#x2F;<em>ds9.si.edu</em>.PynPlot also includes functions for showing animations through,FALSE,2015A&C....10..107A,2014arXiv1405.3284A,,Astronomy and Computing,2014arXiv1405.3284A|2015A&C....10..107A|10.1016/j.ascom.2015.01.003|arXiv:1405.3284|10.1016/j.ascom.2015.01.003|2014arXiv1405.3284A,10.1016/j.ascom.2015.01.003,2015,"Amara, A.",PynPoint code for exoplanet imaging
ds9.si.edu,SAOImage DS9,0,"(http:&#x2F;&#x2F;cxc.cfa.harvard.edu&#x2F;ciao&#x2F;) and the display application DS9 <em>(http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html),</em> which is also packaged",TRUE,2019ApJ...870...69F,2018arXiv181106436F,CfA,The Astrophysical Journal,2018arXiv181106436F|2019ApJ...870...69F|10.3847/1538-4357/aaf0a4|2018arXiv181106436F|arXiv:1811.06436|10.3847/1538-4357/aaf0a4,10.3847/1538-4357/aaf0a4,2019,"Fabbiano, G.",Deep Chandra Observations of ESO 428-G014. IV. The Morphology of the Nuclear Region in the Hard Continuum and Fe K? Line
ds9.si.edu,SAOImage DS9,0,QFitsView. http:&#x2F;&#x2F;www.mpe.mpg.de&#x2F; ?ott&#x2F;QFitsView&#x2F;. [3] SAOImage DS9. <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html.</em> [4],FALSE,2017arXiv170404561R,,,arXiv e-prints,2017arXiv170404561R|arXiv:1704.04561,,2017,"Rosen, Paul",Using Contour Trees in the Analysis and Visualization of Radio Astronomy Data Cubes
ds9.si.edu,SAOImage DS9,0,http:&#x2F;&#x2F;www.python.org&#x2F; http:&#x2F;&#x2F;www.r-project.org&#x2F; 6 <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;</em> 7 http:&#x2F;&#x2F;aladin.u-strasbg.fr&#x2F; 5 Proc. of SPIE,FALSE,2014SPIE.9149E..1TF,,,"Observatory Operations: Strategies, Processes, and Systems V",2014SPIE.9149E..1TF|10.1117/12.2057445|10.1117/12.2057445,10.1117/12.2057445,2014,"Fitzpatrick, Michael J.",The NOAO Data Laboratory: a conceptual overview
ds9.si.edu,SAOImage DS9,0,in this region. We used ds953 53 http:&#x2F;&#x2F;<em>ds9.si.edu</em> to download a 2MASS K-band image surrounding KELT,FALSE,2017AJ....153..263M,2017arXiv170201657M,Subaru|CfA,The Astronomical Journal,2017arXiv170201657M|2017AJ....153..263M|10.3847/1538-3881/aa6d5d|10.3847/1538-3881/aa6d5d|arXiv:1702.01657|2017arXiv170201657M,10.3847/1538-3881/aa6d5d,2017,"McLeod, Kim K.","KELT-18b: Puffy Planet, Hot Host, Probably Perturbed"
ds9.si.edu,SAOImage DS9,0,visualization program8 8 http:&#x2F;&#x2F;<em>ds9.si.edu</em>&#x2F;site&#x2F;Home.html to create the images by color coding the density,FALSE,2015ApJ...803...28C,2014arXiv1412.1100C,,The Astrophysical Journal,2014arXiv1412.1100C|2015ApJ...803...28C|10.1088/0004-637X/803/1/28|arXiv:1412.1100|2014arXiv1412.1100C|10.1088/0004-637X/803/1/28,10.1088/0004-637X/803/1/28,2015,"Colín, P.",Simulations of Galaxies Formed in Warm Dark Matter Halos of Masses at the Filtering Scale
ds9.si.edu,SAOImage DS9,0,"DS9: A utility for displaying astronomical images in the X11 window environment, <em>http:&#x2F;&#x2F;ds9.si.edu,</em>",FALSE,2015arXiv151201204L,,,arXiv e-prints,2015arXiv151201204L|arXiv:1512.01204,,2015,"Lee, Jung Lin","Creating updated, scientifically-calibrated mosaic images for the RC3 catalogue"
ds9.si.edu,SAOImage DS9,0,"To determine the existence of binarity, we first used the DS9 V7.3.2 software7 7 <em>http:&#x2F;&#x2F;ds9.si.edu&#x2F;</em>",FALSE,2018AJ....155...51H,2017arXiv171201468H,,The Astronomical Journal,2017arXiv171201468H|2018AJ....155...51H|10.3847/1538-3881/aaa01e|10.3847/1538-3881/aaa01e|2017arXiv171201468H|arXiv:1712.01468,10.3847/1538-3881/aaa01e,2018,"Hillenbrand, Lynne A.","Robo-AO Discovery and Basic Characterization of Wide Multiple Star Systems in the Pleiades, Praesepe, and NGC 2264 Clusters"
ds9.si.edu,SAOImage DS9,0,before the † ‡ http:&#x2F;&#x2F;fits.gsfc.nasa.gov&#x2F;registry&#x2F;hierarch keyword.html http:&#x2F;&#x2F;<em>ds9.si.edu</em> Proc. of SPIE Vol. 9913,FALSE,2016SPIE.9913E..4AW,2016arXiv160801682W,,Software and Cyberinfrastructure for Astronomy IV,2016arXiv160801682W|2016SPIE.9913E..4AW|10.1117/12.2233076|10.1117/12.2233076|arXiv:1608.01682|2016arXiv160801682W,10.1117/12.2233076,2016,"Walth, Gregory",The Infrared Imaging Spectrograph (IRIS) for TMT: data reduction system
ds9.si.edu,SAOImage DS9,0,"were manually masked (in DS98 8 SAOImage DS9, <em>http:&#x2F;&#x2F;ds9.si.edu.</em> ). The centers of the galaxies in NIR- and",TRUE,2017ApJ...844..165P,2017arXiv170509762P,HST,The Astrophysical Journal,2017arXiv170509762P|2017ApJ...844..165P|10.3847/1538-4357/aa7c18|2017arXiv170509762P|10.3847/1538-4357/aa7c18|arXiv:1705.09762,10.3847/1538-4357/aa7c18,2017,"Pjanka, Patryk",Circumnuclear Structures in Megamaser Host Galaxies
ds9.si.edu,SAOImage DS9,0,"https:&#x2F;&#x2F;heasarc.gsfc.nasa.gov&#x2F;docs&#x2F;suzaku&#x2F;analysis&#x2F;abc&#x2F; a2? 2 where, a? = a&#x2F;M is the dimensionless spin parameter present in our code. 3 http:&#x2F;&#x2F;<em>ds9.si.edu</em>",FALSE,2018arXiv180906669C,,,arXiv e-prints,2018arXiv180906669C|arXiv:1809.06669,,2018,"Choudhury, Kishalay",Testing the Kerr metric with X-ray Reflection Spectroscopy of Mrk 335 Suzaku data
ds9.si.edu,SAOImage DS9,0,"software (Smithsonian Astrophysical Observatory, USA, available at <em>http:&#x2F;&#x2F;ds9.si.edu).</em> This viewer",TRUE,2018arXiv181003363S,,,arXiv e-prints,2018arXiv181003363S|arXiv:1810.03363,,2018,"Schmälzlin, Elmar",Nonscanning large-area Raman imaging for ex vivo/in vivo skin cancer discrimination
ds9.si.edu,SAOImage DS9,0,",which is a representative color image constructed using the visualization and analysis program SAOimage DS97 7 http:&#x2F;&#x2F;<em>ds9.si.edu</em>",FALSE,2017ApJ...836...50L,2016arXiv161108611L,Gemini|Chandra|CfA,The Astrophysical Journal,2016arXiv161108611L|2017ApJ...836...50L|10.3847/1538-4357/836/1/50|arXiv:1611.08611|2016arXiv161108611L|10.3847/1538-4357/836/1/50,10.3847/1538-4357/836/1/50,2017,"Laycock, Silas",The X-Ray Binary Population of the Nearby Dwarf Starburst Galaxy IC 10: Variable and Transient X-Ray Sources
