,Software_Package,Alias,Identifier,File_Name,count
148,AstroPy,2013A&A...558A..33A,1,apj_848_1_58.xml,1
149,AstroPy,2013A&A...558A..33A,1,apj_848_1_8.xml,1
150,AstroPy,2013A&A...558A..33A,1,apj_849_1_11.xml,1
151,AstroPy,2013A&A...558A..33A,1,apj_849_2_163.xml,1
152,AstroPy,2013A&A...558A..33A,1,apj_850_1_86.xml,1
153,AstroPy,2013A&A...558A..33A,1,apj_850_2_139.xml,1
154,AstroPy,2013A&A...558A..33A,1,apj_850_2_179.xml,1
155,AstroPy,2013A&A...558A..33A,1,apj_851_2_152.xml,1
156,AstroPy,2013A&A...558A..33A,1,apj_852_1_9.xml,1
157,AstroPy,2013A&A...558A..33A,1,apj_852_2_68.xml,1
158,AstroPy,2013A&A...558A..33A,1,apj_852_2_72.xml,1
159,AstroPy,2013A&A...558A..33A,1,apj_853_1_57.xml,1
160,AstroPy,2013A&A...558A..33A,1,apj_853_2_109.xml,1
161,AstroPy,2013A&A...558A..33A,1,apj_853_2_111.xml,1
162,AstroPy,2013A&A...558A..33A,1,apj_853_2_171.xml,1
163,AstroPy,2013A&A...558A..33A,1,apj_853_2_180.xml,1
164,AstroPy,2013A&A...558A..33A,1,apj_854_1_31.xml,1
165,AstroPy,2013A&A...558A..33A,1,apj_854_2_107.xml,1
166,AstroPy,2013A&A...558A..33A,1,apj_854_2_158.xml,1
167,AstroPy,2013A&A...558A..33A,1,apj_855_1_14.xml,1
168,AstroPy,2013A&A...558A..33A,1,apj_856_2_154.xml,1
169,AstroPy,2013A&A...558A..33A,1,apj_857_1_39.xml,1
170,AstroPy,2013A&A...558A..33A,1,apj_857_1_69.xml,1
171,AstroPy,2013A&A...558A..33A,1,apj_857_1_74.xml,1
172,AstroPy,2013A&A...558A..33A,1,apj_857_2_86.xml,1
173,AstroPy,2013A&A...558A..33A,1,apjl_792_1_16.xml,1
174,AstroPy,2013A&A...558A..33A,1,apjl_797_2_32.xml,1
175,AstroPy,2013A&A...558A..33A,1,apjl_798_1_21.xml,1
176,AstroPy,2013A&A...558A..33A,1,apjl_808_1_L3.xml,1
177,AstroPy,2013A&A...558A..33A,1,apjl_808_2_L39.xml,1
178,AstroPy,2013A&A...558A..33A,1,apjl_827_2_L38.xml,1
179,AstroPy,2013A&A...558A..33A,1,apjl_828_2_L15.xml,1
180,AstroPy,2013A&A...558A..33A,1,apjl_832_1_L3.xml,1
181,AstroPy,2013A&A...558A..33A,1,apjl_843_1_L8.xml,1
182,AstroPy,2013A&A...558A..33A,1,apjl_848_2_L32.xml,1
183,AstroPy,2013A&A...558A..33A,1,apjl_850_1_L14.xml,1
184,AstroPy,2013A&A...558A..33A,1,apjl_852_1_L2.xml,1
185,AstroPy,2013A&A...558A..33A,1,apjl_855_2_L23.xml,1
186,AstroPy,2013A&A...558A..33A,1,apjl_855_2_L26.xml,1
187,AstroPy,2013A&A...558A..33A,1,apjl_856_2_L28.xml,1
188,AstroPy,2013A&A...558A..33A,1,apjs_226_1_6.xml,1
189,AstroPy,2013A&A...558A..33A,1,apjs_231_1_11.xml,1
190,AstroPy,2013A&A...558A..33A,1,apjs_233_1_9.xml,1
191,AstroPy,AstroPy,0,aj_151_4_99.xml,1
192,AstroPy,AstroPy,0,aj_152_6_228.xml,1
193,AstroPy,AstroPy,0,aj_153_1_3.xml,1
194,AstroPy,AstroPy,0,aj_153_3_116.xml,2
195,AstroPy,AstroPy,0,aj_154_6_220.xml,1
196,AstroPy,AstroPy,0,aj_155_5_201.xml,1
197,AstroPy,AstroPy,0,apj_817_1_79.xml,1
198,AstroPy,AstroPy,0,apj_817_2_110.xml,1
199,AstroPy,AstroPy,0,apj_821_1_6.xml,1
200,AstroPy,AstroPy,0,apj_825_1_82.xml,2
201,AstroPy,AstroPy,0,apj_833_1_15.xml,1
202,AstroPy,AstroPy,0,apj_838_1_22.xml,1
203,AstroPy,AstroPy,0,apj_842_2_73.xml,2
204,AstroPy,AstroPy,0,apj_843_2_79.xml,1
205,AstroPy,AstroPy,0,apj_844_1_46.xml,1
206,AstroPy,AstroPy,0,apj_845_1_33.xml,1
207,AstroPy,AstroPy,0,apj_852_1_9.xml,1
208,AstroPy,AstroPy,0,apj_852_2_122.xml,1
209,AstroPy,AstroPy,0,apj_853_1_5.xml,1
210,AstroPy,AstroPy,0,apj_853_2_167.xml,1
211,AstroPy,AstroPy,0,apj_853_2_180.xml,2
212,AstroPy,AstroPy,0,apj_853_2_195.xml,1
213,AstroPy,AstroPy,0,apj_855_1_13.xml,1
214,AstroPy,AstroPy,0,apjl_816_1_L2.xml,1
215,AstroPy,AstroPy,0,apjl_828_2_L15.xml,1
216,AstroPy,AstroPy,0,apjs_234_1_4.xml,1
217,AstroPy,AstroPy,0,apjs_235_2_36.xml,1
218,AstroPy,astropy.org,0,aj_148_1_14.xml,1
219,AstroPy,astropy.org,0,aj_150_6_189.xml,1
220,AstroPy,astropy.org,0,aj_152_6_178.xml,1
221,AstroPy,astropy.org,0,aj_153_3_107.xml,1
222,AstroPy,astropy.org,0,aj_153_3_98.xml,1
223,AstroPy,astropy.org,0,aj_154_5_190.xml,1
224,AstroPy,astropy.org,0,aj_155_3_128.xml,2
225,AstroPy,astropy.org,0,apj_768_1_50.xml,1
226,AstroPy,astropy.org,0,apj_779_1_50.xml,1
227,AstroPy,astropy.org,0,apj_780_1_75.xml,1
