Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
DS9,SAOImage DS9,0,reduction routines from the iraf package but supplemented with specially designed <em>DS9</em> and iraf scripts,FALSE,2010MNRAS.401.1760S,2009MNRAS.tmp.1716S|2009MNRAS.tmp.1673S|2009arXiv0910.1546S|2009MNRAS.tmp.1691S,,Monthly Notices of the Royal Astronomical Society,2009MNRAS.tmp.1716S|2009MNRAS.tmp.1673S|2009arXiv0910.1546S|2009MNRAS.tmp.1691S|2010MNRAS.401.1760S|10.1111/j.1365-2966.2009.15814.x|10.1111/j.1365-2966.2009.15814.x|2009arXiv0910.1546S|2009MNRAS.tmp.1691S|2009MNRAS.tmp.1716S|2009MNRAS.tmp.1673S|arXiv:0910.1546,10.1111/j.1365-2966.2009.15814.x,2010,2010-01-00,"Stupar, M.",The optical emission nebulae in the vicinity of WR 48 (Θ Mus): true Wolf-Rayet ejecta or unconnected supernova remnant?
DS9,SAOImage DS9,0,"is very useful for manual analysis with well#x02010;known FITS viewers (e.g., <em>DS9;</em> see Joye #x00026; Mandel 2003).",TRUE,2006PASP..118.1474P,2006astro.ph..9658P,CfA,Publications of the Astronomical Society of the Pacific,2006astro.ph..9658P|2006PASP..118.1474P|10.1086/508573|10.1086/508573|arXiv:astro-ph/0609658|2006astro.ph..9658P,10.1086/508573,2006,2006-10-00,"Pál, András",Astrometry in Wide-Field Surveys
DS9,SAOImage DS9,0,"is displayed using the SAOImage <em>DS9</em> software, and can be overlaid with information on one or more selected",FALSE,2014MNRAS.440.1490C,2014MNRAS.tmp..559C|2014arXiv1412.5724C,,Monthly Notices of the Royal Astronomical Society,2014MNRAS.tmp..559C|2014arXiv1412.5724C|2014MNRAS.440.1490C|10.1093/mnras/stu348|arXiv:1412.5724|10.1093/mnras/stu348|2014arXiv1412.5724C|2014MNRAS.tmp..559C,10.1093/mnras/stu348,2014,2014-05-00,"Chote, P.",Puoko-nui: a flexible high-speed photometric system
DS9,SAOImage DS9,0,"(Image Reduction and Analysis Facility) for photometric analysis of images, <em>DS9</em> to visualize images,",TRUE,2016arXiv160902480F,,,arXiv e-prints,2016arXiv160902480F|arXiv:1609.02480,,2016,2016-09-00,"Fatima, Hira",Age Estimates of Universe: from Globular Clusters to Cosmological Models and Probes
DS9,SAOImage DS9,0,"is a browser-based implementation of SAOImage <em>DS9</em> (http:&#x2F;&#x2F;ds9.si.edu&#x2F;), an astronomical imaging and data",TRUE,2016arXiv160904121Z,,,arXiv e-prints,2016arXiv160904121Z|arXiv:1609.04121,,2016,2016-09-00,"ZuHone, J. A.",The Galaxy Cluster Merger Catalog: An Online Repository of Mock Observations from Simulated Galaxy Cluster Mergers
DS9,SAOImage DS9,0,"positions reported by the SAOImage <em>DS9</em> FITS viewer (Joye Mandel 2003). For these values, the error",TRUE,2014AJ....147...61W,2013arXiv1310.6717W,,The Astronomical Journal,2013arXiv1310.6717W|2014AJ....147...61W|10.1088/0004-6256/147/3/61|arXiv:1310.6717|2013arXiv1310.6717W|10.1088/0004-6256/147/3/61,10.1088/0004-6256/147/3/61,2014,2014-03-00,"Wright, Edward L.",The First AllWISE Proper Motion Discovery: WISEA J070720.50+170532.7
DS9,SAOImage DS9,0,for 3C 220.1. We thank staff of the CXC for help concerning calibrations and the CIAO and <em>DS9</em> software.,FALSE,2001MNRAS.326.1127W,2001astro.ph..5194W,Chandra,Monthly Notices of the Royal Astronomical Society,2001astro.ph..5194W|10.1046/j.1365-8711.2001.04644.x|2001MNRAS.326.1127W|arXiv:astro-ph/0105194|10.1046/j.1365-8711.2001.04644.x|2001astro.ph..5194W,10.1046/j.1365-8711.2001.04644.x,2001,2001-09-00,"Worrall, D. M.",Chandra measurements of the X-ray core and cluster of 3C 220.1
DS9,SAOImage DS9,0,"respectively, and the staff of the CXC for help concerning calibrations and the CIAO and <em>DS9</em> software.",FALSE,2001MNRAS.326L...7W,2001astro.ph..6246W,Chandra,Monthly Notices of the Royal Astronomical Society,2001astro.ph..6246W|10.1046/j.1365-8711.2001.04752.x|2001MNRAS.326L...7W|2001astro.ph..6246W|arXiv:astro-ph/0106246|10.1046/j.1365-8711.2001.04752.x,10.1046/j.1365-8711.2001.04752.x,2001,2001-09-00,"Worrall, D. M.",Chandra finds that X-ray jets are common in low-power radio galaxies
DS9,SAOImage DS9,0,"More detail is apparent when changing the scale and contrast in a <em>DS9</em> window. Each box is 20 square,",FALSE,2011ApJ...730..112C,2011arXiv1101.2450C,CFHT,The Astrophysical Journal,2011arXiv1101.2450C|10.1088/0004-637X/730/2/112|2011ApJ...730..112C|2011arXiv1101.2450C|arXiv:1101.2450|10.1088/0004-637X/730/2/112,10.1088/0004-637X/730/2/112,2011,2011-04-00,"Cockcroft, Robert",The M33 Globular Cluster System with PAndAS Data: the Last Outer Halo Cluster?
DS9,SAOImage DS9,0,.59 ··· 12.9 ··· Note. a Continuum-subtracted flux measured in the ionization cone using the <em>DS9</em> funtools,FALSE,2011ApJ...741L..17Z,2011arXiv1109.6360Z,Magellan,The Astrophysical Journal,2011arXiv1109.6360Z|10.1088/2041-8205/741/1/L17|2011ApJ...741L..17Z|2011arXiv1109.6360Z|10.1088/2041-8205/741/1/L17|arXiv:1109.6360,10.1088/2041-8205/741/1/L17,2011,2011-11-00,"Zastrow, Jordan",An Ionization Cone in the Dwarf Starburst Galaxy NGC 5253
DS9,SAOImage DS9,0,"0693850501, produced with <em>DS9.</em> The dashed circles have a radius of 33 and indicate the size of our typical",FALSE,2015ApJ...811L..11P,2016arXiv160102628P,XMM,The Astrophysical Journal,2016arXiv160102628P|10.1088/2041-8205/811/1/L11|2015ApJ...811L..11P|arXiv:1601.02628|10.1088/2041-8205/811/1/L11|2016arXiv160102628P,10.1088/2041-8205/811/1/L11,2015,2015-09-00,"Pasham, Dheeraj R.",Evidence for High-frequency QPOs with a 3:2 Frequency Ratio from a 5000 Solar Mass Black Hole
DS9,SAOImage DS9,0,"with SAOImage <em>DS9,</em> using the most appropriate aperture, given the shape and orientation of each blob. A fitting",FALSE,2017MNRAS.465..739S,2016arXiv160906695S,CFHT,Monthly Notices of the Royal Astronomical Society,2016arXiv160906695S|2017MNRAS.465..739S|10.1093/mnras/stw2753|arXiv:1609.06695|10.1093/mnras/stw2753|2016arXiv160906695S,10.1093/mnras/stw2753,2017,2017-02-00,"Shara, Michael M.",When does an old nova become a dwarf nova? Kinematics and age of the nova shell of the dwarf nova AT Cancri
DS9,SAOImage DS9,0,image of Abell 496 smoothed in <em>DS9</em> ver. 4.0 with a Gaussian function with 3 pixel kernel radius. Blue,FALSE,2007ApJ...671..181D,2007arXiv0707.4001D,Chandra,The Astrophysical Journal,2007arXiv0707.4001D|2007ApJ...671..181D|10.1086/522194|arXiv:0707.4001|10.1086/522194|2007arXiv0707.4001D,10.1086/522194,2007,2007-12-00,"Dupke, Renato",Different Methods of Forming Cold Fronts in Nonmerging Clusters
DS9,SAOImage DS9,0,"of the background, etc.) and using standard software routines (e.g. Daophot photometry library [23], SAOImage <em>DS9</em>",TRUE,2016NIMPA.806...61C,2015arXiv150402962C,,Nuclear Instruments and Methods in Physics Research A,2015arXiv150402962C|2016NIMPA.806...61C|10.1016/j.nima.2015.09.092|10.1016/j.nima.2015.09.092|arXiv:1504.02962|2015arXiv150402962C,10.1016/j.nima.2015.09.092,2016,2016-01-00,"Canestrari, Rodolfo",A facility to evaluate the focusing performance of mirrors for Cherenkov Telescopes
