Alias,Pub_Year,File_Name
DEEP2 DEIMOS data pipeline,2006,1
DEEP2 DEIMOS data pipeline,2009,1
DEEP2 DEIMOS data pipeline,2011,1
DEEP2 DEIMOS data reduction pipeline,2007,2
DEEP2 DEIMOS data reduction pipeline,2012,2
DEEP2 DEIMOS data reduction pipeline,2013,2
DEEP2 DEIMOS data reduction pipeline,2017,1
DEEP2 DEIMOS pipeline,2007,1
DEEP2 DEIMOS pipeline,2008,1
DEEP2 DEIMOS pipeline,2009,2
DEEP2 DEIMOS pipeline,2011,2
DEEP2 DEIMOS pipeline,2012,1
DEIMOS pipeline,2004,1
DEIMOS pipeline,2006,1
DEIMOS pipeline,2008,1
DEIMOS pipeline,2009,2
DEIMOS pipeline,2010,1
DEIMOS pipeline,2011,1
DEIMOS pipeline,2013,2
DEIMOS pipeline,2014,1
DEIMOS pipeline,2015,1
DS9,2001,1
DS9,2003,1
DS9,2004,1
DS9,2005,2
DS9,2006,4
DS9,2007,6
DS9,2008,6
DS9,2009,4
DS9,2010,7
DS9,2011,7
DS9,2012,5
DS9,2013,5
DS9,2014,6
DS9,2015,5
DS9,2016,10
DS9,2017,5
DS9,2018,4
DS9 Region,2012,1
HENDRICS,2018,2
RADMC,2004,1
RADMC,2005,1
RADMC,2006,1
RADMC,2007,4
RADMC,2008,4
RADMC,2009,9
RADMC,2010,10
RADMC,2011,6
RADMC,2012,8
RADMC,2013,4
RADMC,2014,4
RADMC,2015,3
RADMC,2016,4
RADMC,2017,5
RADMC-3D,2010,2
RADMC-3D,2012,4
RADMC-3D,2013,6
RADMC-3D,2014,6
RADMC-3D,2015,12
RADMC-3D,2016,16
RADMC-3D,2017,25
RADMC-3D,2018,9
RADMC3D,2013,1
RADMC3D,2015,7
RADMC3D,2016,3
RADMC3D,2017,3
SAO Image,2011,1
SAO Image,2013,1
SAO Image,2018,1
SAO image ds9,2000,1
SAOIMAGE,1997,1
SAOIMAGE,1998,3
SAOIMAGE,1999,1
SAOIMAGE,2000,1
SAOIMAGE,2002,1
SAOIMAGE,2006,1
SAOIMAGE,2009,1
SAOIMAGE,2017,1
SAOImage,2003,1
SAOImage,2007,1
SAOImage,2010,1
SAOImage,2011,1
SAOImage,2012,1
SAOImage,2015,3
SAOImage,2016,1
SAOImage,2018,1
SAOImage DS9,2004,3
SAOImage DS9,2005,1
SAOImage DS9,2006,7
SAOImage DS9,2007,10
SAOImage DS9,2008,10
SAOImage DS9,2009,19
SAOImage DS9,2010,17
SAOImage DS9,2011,10
SAOImage DS9,2012,21
SAOImage DS9,2013,24
SAOImage DS9,2014,15
SAOImage DS9,2015,11
SAOImage DS9,2016,5
SAOImage DS9,2017,16
SAOImage DS9,2018,9
SAOImage ds9,2005,1
SAOImage ds9,2007,1
SAOImage ds9,2009,2
SAOImage ds9,2011,3
SAOImage ds9,2012,1
SAOImage ds9,2016,1
SAOImage ds9,2017,1
SAOImage ds9,2018,1
Spec2d,2003,1
Spec2d,2013,1
Spec2d,2015,1
Spec2d,2017,2
Stingray,2018,1
TARDIS,2017,1
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2009,4
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2010,4
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2011,6
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2012,8
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2013,5
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2014,2
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2015,1
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2017,1
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,2018,1
WCS Tools,2008,1
WCSLIB,2007,1
WCSLIB,2017,1
WCSTOOLS,2004,3
WCSTOOLS,2009,2
WCSTOOLS,2010,4
WCSTOOLS,2011,1
WCSTOOLS,2012,2
WCSTOOLS,2014,1
WCSTOOLS,2015,1
WCSTOOLS,2017,1
WCSTools,1998,1
WCSTools,1999,1
WCSTools,2001,2
WCSTools,2002,5
WCSTools,2003,2
WCSTools,2004,1
WCSTools,2005,4
WCSTools,2006,5
WCSTools,2007,6
WCSTools,2008,2
WCSTools,2009,2
WCSTools,2010,10
WCSTools,2011,5
WCSTools,2012,4
WCSTools,2013,4
WCSTools,2014,2
WCSTools,2015,4
WCSTools,2016,2
WCSTools,2017,4
WCSTools,2018,1
ascl:1202.015,2013,1
ascl:1202.015,2015,1
ascl:1203.003,2012,4
ascl:1203.003,2013,2
ascl:1203.003,2014,2
ascl:1203.003,2015,1
astro.berkeley.edu/~cooper/deep/spec2d,2007,2
astro.berkeley.edu/~cooper/deep/spec2d,2008,4
astro.berkeley.edu/~cooper/deep/spec2d,2009,5
astro.berkeley.edu/~cooper/deep/spec2d,2010,3
astro.berkeley.edu/~cooper/deep/spec2d,2011,3
astro.berkeley.edu/~cooper/deep/spec2d,2012,4
astro.berkeley.edu/~cooper/deep/spec2d,2013,2
astro.berkeley.edu/~cooper/deep/spec2d,2015,1
astro.berkeley.edu/~cooper/deep/spec2d,2018,1
astroblend,2016,1
astroblend.com,2016,1
astron.berkeley.edu/~cooper/deep/spec2d,2004,1
astron.berkeley.edu/~cooper/deep/spec2d,2005,1
astron.berkeley.edu/~cooper/deep/spec2d,2006,4
astron.berkeley.edu/~cooper/deep/spec2d,2009,2
astron.berkeley.edu/~cooper/deep/spec2d,2011,1
astropy,2014,2
astropy,2015,5
astropy,2016,18
astropy,2017,44
astropy,2018,28
astropy cosmology,2017,1
astropy.cosmology,2016,3
astropy.cosmology,2017,2
astropy.org,2013,3
astropy.org,2014,8
astropy.org,2015,12
astropy.org,2016,21
astropy.org,2017,22
astropy.org,2018,8
astropy.units,2016,1
astropy/astroplan,2018,1
astropy/astroquery,2017,1
astropy/astroquery,2018,1
astropy/halotools,2017,1
astropy/photutils,2017,1
astropy/photutils,2018,2
cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,2001,2
cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,2002,1
deep.berkeley.edu/spec2d,2011,2
deep.berkeley.edu/spec2d,2012,3
deep.berkeley.edu/spec2d,2013,2
deep.ps.uci.edu/spec2d,2016,1
deep.ps.uci.edu/spec2d,2017,1
deep.ps.uci.edu/spec2d,2018,1
doi.org/10.1051/0004-6361/201322068,2017,1
doi.org/10.1051/0004-6361/201322068,2018,1
ds9,2002,1
ds9,2005,2
ds9,2006,1
ds9,2007,2
ds9,2008,2
ds9,2009,1
ds9,2010,7
ds9,2012,4
ds9,2013,2
ds9,2014,3
ds9,2015,7
ds9,2016,4
ds9,2017,3
ds9,2018,2
ds9 Regions,2010,1
ds9.si.edu,2014,2
ds9.si.edu,2015,5
ds9.si.edu,2016,4
ds9.si.edu,2017,5
ds9.si.edu,2018,6
dullemond/software/radmc-3d,2015,4
dullemond/software/radmc-3d,2016,3
dullemond/software/radmc-3d,2017,1
github.com/StingraySoftware/HENDRIC,2018,1
github.com/StingraySoftware/notebooks,2018,1
github.com/astropy/astroplan,2018,1
github.com/astropy/astroquery,2017,1
github.com/astropy/astroscrappy,2017,1
github.com/astropy/astroscrappy,2018,1
github.com/astropy/halotools,2017,1
github.com/astropy/photutils,2016,1
hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,2005,1
hea&hyphen;www.harvard.edu/RD/ds9,2002,1
hea&hyphen;www.harvard.edu/RD/ds9,2005,2
hea&hyphen;www.harvard.edu/RD/ds9,2006,2
hea&hyphen;www.harvard.edu/RD/ds9,2007,2
