"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"145","SAOImage DS9","apj_773_2_91.xml","apj477368, ASJOAB, 10.1088/0004-637X/773/2/91, 477368, ApJ90979","SAOImage DS9",0,"p","ack","This research has made use of SAOImage DS9, developed by Smithsonian Astrophysical Observatory.","
<p>We thank the thousands of <italic>Einstein@Hom",2013,"The Astrophysical Journal","The American Astronomical Society"
"146","SAOImage DS9","apj_775_1_9.xml","apj481817, ASJOAB, 10.1088/0004-637X/775/1/9, 481817, ApJ91533","SAOImage DS9",0,"p","ack","J.H. thanks the members of the Astronomical Instit","
<p>J.H. thanks the members of the Astronomical In",2013,"The Astrophysical Journal","The American Astronomical Society"
"147","SAOImage DS9","apj_777_1_45.xml","apj483838, ASJOAB, 10.1088/0004-637X/777/1/45, 483838, ApJ91368","SAOImage DS9",0,"p","ack","J.-H.S. and T.-S.P. express their gratitude to the","<p>J.-H.S. and T.-S.P. express their gratitude to ",2013,"The Astrophysical Journal","The American Astronomical Society"
"148","SAOImage DS9","apj_779_2_186.xml","apj488282, ASJOAB, 10.1088/0004-637X/779/2/186, 488282, ApJ92615","SAOImage DS9",0,"p","ack","This research has made use of SAOImage DS9, develo","
<p>We thank the staff of the <italic>Chandra</ita",2013,"The Astrophysical Journal","The American Astronomical Society"
"149","SAOImage DS9","apj_780_2_132.xml","apj488628, ASJOAB, 10.1088/0004-637X/780/2/132, 488628, ApJ92159","SAOImage DS9",0,"p","ack","S.M. is grateful to Stefano Zibetti for helpful di","
<p>S.M. is grateful to Stefano Zibetti for helpfu",2014,"The Astrophysical Journal","The American Astronomical Society"
"150","SAOImage DS9","apj_785_2_148.xml","apj492892, ASJOAB, 10.1088/0004-637X/785/2/148, 492892, ApJ92236","SAOImage DS9",0,"p","ack","Based on observations made with the NASA&sol;ESA <","<p>Based on observations made with the NASA&amp;so",2014,"The Astrophysical Journal","The American Astronomical Society"
"151","SAOImage DS9","apj_786_1_41.xml","apj493255, ASJOAB, 10.1088/0004-637X/786/1/41, 493255, ApJ94540","SAOImage DS9",0,"p","ack","Private communication with A. Schechtman-Rook rega","
<p>Private communication with A. Schechtman-Rook ",2014,"The Astrophysical Journal","The American Astronomical Society"
"152","SAOImage DS9","apj_787_2_107.xml","apj493243, ASJOAB, 10.1088/0004-637X/787/2/107, 493243, ApJ93393","SAOImage DS9",0,"p","ack","We thank the anonymous referee for taking the time","<p>We thank the anonymous referee for taking the t",2014,"The Astrophysical Journal","The American Astronomical Society"
"153","SAOImage DS9","apj_787_2_108.xml","apj493242, ASJOAB, 10.1088/0004-637X/787/2/108, 493242, ApJ93495","SAOImage DS9",0,"p","ack","We thank R. Jeffries (Keele University), T. Megeat","<p>We thank R. Jeffries (Keele University), T. Meg",2014,"The Astrophysical Journal","The American Astronomical Society"
"154","SAOImage DS9","apj_793_2_73.xml","apj499801, ASJOAB, 10.1088/0004-637X/793/2/73, 499801, ApJ95723","SAOImage DS9",0,"p","ack","The authors thank L. Verdes-Montenegro for providi","
<p>The authors thank L. Verdes-Montenegro for pro",2014,"The Astrophysical Journal","The American Astronomical Society"
"155","SAOImage DS9","apj_793_2_74.xml","apj499802, ASJOAB, 10.1088/0004-637X/793/2/74, 499802, ApJ95724","SAOImage DS9",0,"p","ack","The authors thank L. Verdes-Montenegro for providi","
<p>The authors thank L. Verdes-Montenegro for pro",2014,"The Astrophysical Journal","The American Astronomical Society"
"156","SAOImage DS9","apj_794_2_107.xml","apj501339, ASJOAB, 10.1088/0004-637X/794/2/107, 501339, ApJ95510","SAOImage DS9",0,"p","ack","This research has made use of the NASA&sol;IPAC Ex","<p>This research has made use of the NASA&amp;sol;",2014,"The Astrophysical Journal","The American Astronomical Society"
"157","SAOImage DS9","apj_797_2_91.xml","apj503770, ASJOAB, 10.1088/0004-637X/797/2/91, 503770, ApJ95854","SAOImage DS9",0,"p","ack","We thank the anonymous referee for helpful suggest","
<p>We thank the anonymous referee for helpful sug",2014,"The Astrophysical Journal","The American Astronomical Society"
"158","SAOImage DS9","apj_802_1_60.xml","apj508569, 10.1088/0004-637X/802/1/60, 508569, ApJ96847","SAOImage DS9",0,"p","ack","The MYStIX project was supported at Penn State by ","
<p>The MYStIX project was supported at Penn State",2015,"The Astrophysical Journal","The American Astronomical Society"
"159","SAOImage DS9","apj_806_1_106.xml","apj514031, 10.1088/0004-637X/806/1/106, 514031, ApJ95268","SAOImage DS9",0,"p","ack","Thanks to Jonathan McDowell and Marie Machacek for","
<p>Thanks to Jonathan McDowell and Marie Machacek",2015,"The Astrophysical Journal","The American Astronomical Society"
"160","SAOImage DS9","apj_807_1_56.xml","apj514080, 10.1088/0004-637X/807/1/56, 514080, ApJ97195","SAOImage DS9",0,"p","ack","This work would not have been practical without ex","
<p>The spectra were taken with the Marcario LRS a",2015,"The Astrophysical Journal","The American Astronomical Society"
"161","SAOImage DS9","apj_812_2_131.xml","apj517977, 10.1088/0004-637X/812/2/131, 517977, ApJ96992","SAOImage DS9",0,"p","ack","The MYStIX project was supported at Penn State by ","
<p>The MYStIX project was supported at Penn State",2015,"The Astrophysical Journal","The American Astronomical Society"
"162","SAOImage DS9","apj_836_2_174.xml","apjaa5a54, 10.3847/1538-4357/836/2/174, aa5a54, AAS03598","SAOImage DS9",0,"p","ack","This scientific work makes use of the Murchison Ra","
<p>This scientific work makes use of the Murchiso",2017,"The Astrophysical Journal","The American Astronomical Society"
"163","SAOImage DS9","apj_840_2_82.xml","apjaa6983, 10.3847/1538-4357/aa6983, aa6983, AAS04357","SAOImage DS9",0,"p","ack","G.D. and G.C. are members of the <italic>Carrera d","
<p>G.D. and G.C. are members of the <italic>Carre",2017,"The Astrophysical Journal","The American Astronomical Society"
"164","SAOImage DS9","apj_844_1_38.xml","apjaa762a, 10.3847/1538-4357/aa762a, aa762a, AAS05216","SAOImage DS9",0,"p","ack","This research is based on observations obtained wi","
<p>This research is based on observations obtaine",2017,"The Astrophysical Journal","The American Astronomical Society"
"165","SAOImage DS9","apj_844_1_38.xml","apjaa762a, 10.3847/1538-4357/aa762a, aa762a, AAS05216","SAOImage DS9",0,"p","ack","<italic>Software:</italic> IRAF, SAOImage DS9, Aladin.","
<p>This research is based on observations obtaine",2017,"The Astrophysical Journal","The American Astronomical Society"
"166","SAOImage DS9","apj_846_1_73.xml","apjaa8669, 10.3847/1538-4357/aa8669, aa8669, AAS06112","SAOImage DS9",0,"p","ack","<italic>Software:</italic> Starburst99 (Leitherer ","
<p>This paper makes use of the following ALMA dat",2017,"The Astrophysical Journal","The American Astronomical Society"
"167","SAOImage DS9","apj_846_2_119.xml","apjaa845c, 10.3847/1538-4357/aa845c, aa845c, AAS06587","SAOImage DS9",0,"p","ack","This research has made use of the NASA/IPAC Extrag","
<p>This research has made use of the NASA/IPAC Ex",2017,"The Astrophysical Journal","The American Astronomical Society"
"168","SAOImage DS9","apj_856_1_66.xml","apjaaaf66, 10.3847/1538-4357/aaaf66, aaaf66, AAS05786","SAOImage DS9",0,"p","ack","<italic>Software:</italic> ciao (Fruscione et al. ","
<p>Support for this work was provided in part by ",2018,"The Astrophysical Journal","The American Astronomical Society"
"169","SAOImage DS9","apj_857_1_68.xml","apjaab6a6, 10.3847/1538-4357/aab6a6, aab6a6, AAS08376","SAOImage DS9",0,"p","ack","<italic>Software:</italic> AIP4WIN, Aladin (v9; Bo","
<p>We are deeply indebted to the late <italic>Swi",2018,"The Astrophysical Journal","The American Astronomical Society"
"170","SAOImage DS9","apjl_692_2_123.xml","apjl298910, ASJOAB, 10.1088/0004-637X/692/2/L123, 298910","SAOImage DS9",0,"p","ack","We thank D. E. Harris for his suggestions and for ","
<p>We thank D. E. Harris for his suggestions and ",2009,"The Astrophysical Journal","The American Astronomical Society"
"171","SAOImage DS9","apjl_729_1_9.xml","apjl382829, ASJOAB, 10.1088/2041-8205/729/1/L9, 382829","SAOImage DS9",0,"p","ack","We are very grateful to S. SÃ­mon-DÃ­az for making a","<p>We are very grateful to S. SÃ­mon-DÃ­az for makin",2011,"The Astrophysical Journal Letters","The American Astronomical Society"
"172","SAOImage DS9","apjl_781_1_12.xml","apjl487036, ASJOAB, 10.1088/2041-8205/781/1/L12, 487036, LET31069","SAOImage DS9",0,"p","ack","We thank the referee for a careful reading of the ","
<p>We thank the referee for a careful reading of ",2014,"The Astrophysical Journal Letters","The American Astronomical Society"
"173","SAOImage DS9","apjl_850_2_L23.xml","apjlaa9985, 10.3847/2041-8213/aa9985, aa9985, LET35146","SAOImage DS9",0,"p","ack","<italic>Software:</italic> CASA, MIRIAD, SAOImage DS9.","
<p>This work has been supported by NSF grant AST1",2017,"The Astrophysical Journal Letters","The American Astronomical Society"
"174","SAOImage DS9","apjl_851_2_L31.xml","apjlaa9d81, 10.3847/2041-8213/aa9d81, aa9d81, LET35369","SAOImage DS9",0,"p","ack","This research has made use of JPL Horizons (Giorgi","
<p>We thank our telescope operator, Jason Sanborn",2017,"The Astrophysical Journal Letters","The American Astronomical Society"
"175","SAOImage DS9","apjl_851_2_L31.xml","apjlaa9d81, 10.3847/2041-8213/aa9d81, aa9d81, LET35369","SAOImage DS9",0,"p","ack","<italic>Software:</italic> Astropy (Astropy Collab","
<p>We thank our telescope operator, Jason Sanborn",2017,"The Astrophysical Journal Letters","The American Astronomical Society"
"176","SAOImage DS9","apjs_181_2_572.xml","apjs303722, ASJOAB, 10.1088/0067-0049/181/2/572, 303722","SAOImage DS9",0,"p","ack","We wish to acknowledge and thank the creators of S","
<p>We wish to acknowledge and thank the creators ",2009,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"177","SAOImage DS9","apjs_184_1_172.xml","apjs292434, ASJOAB, 10.1088/0067-0049/184/1/172, 292434","SAOImage DS9",0,"p","ack","This research was supported by NASA grants JPL1264","
<p>This research was supported by NASA grants JPL",2009,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"178","SAOImage DS9","apjs_187_2_495.xml","apjs329151, ASJOAB, 10.1088/0067-0049/187/2/495, 329151","SAOImage DS9",0,"p","ack","Support for this work was provided by the National","
<p>Support for this work was provided by the Nati",2010,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"179","SAOImage DS9","apjs_189_1_37.xml","apjs332955, ASJOAB, 10.1088/0067-0049/189/1/37, 332955","SAOImage DS9",0,"p","ack","The development and operational construction of th","
<p>The authors thank the <italic>Chandra</italic>",2010,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
