Software_name,Alias,ID
Spec2d,spec2d,0
Spec2d,2013ApJS..208....5N,1
Spec2d,10.1088/0067-0049/208/1/5,1
Spec2d,arXiv:1203.3192,1
Spec2d,2012ascl.soft03003C,1
Spec2d,ascl:1203.003,1
Spec2d,deep.ps.uci.edu/spec2d,0
Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0
Spec2d,adsabs.harvard.edu/abs/2013ApJS..208....5N,0
Spec2d,doi.org/10.1088/0067-0049/208/1/5,0
Spec2d,10.1088/0067-0049/208/1/5,1
Spec2d,arxiv.org/abs/1203.3192,0
Spec2d,adsabs.harvard.edu/abs/2012ascl.soft03003C,0
Spec2d,ascl.net/1203.003,0
Spec2d,iopscience.iop.org/article/10.1088/0067-0049/208/1/5/pdf,0
Spec2d,arxiv.org/pdf/1203.3192.pdf,0
Spec2d,www2.keck.hawaii.edu/inst/deimos/pipeline.html,0
Spec2d,github.com/MCTwo/DEIMOS/tree/master/idl/spec2d,0
Spec2d,deep.ps.uci.edu/spec2d/cvs/cvs.html#beta,0
Spec2d,DEIMOS pipeline,0
Spec2d,DEEP2 DEIMOS pipeline,0
Spec2d,DEEP2 DEIMOS data pipeline,0
Stingray,Stingray,0
Stingray,stingray,0
Stingray,2016ascl.soft08001H,1
Stingray,stingraysoftware.github.io,0
Stingray,github.com/StingraySoftware/stingray,0
Stingray,adsabs.harvard.edu/abs/2016ascl.soft08001H,0
Stingray,ascl.net/1608.001,0
Stingray,github.com/StingraySoftware/stingraypaper,0
Stingray,doi.org/10.5281/zenodo.1490117,0
Stingray,10.5281/zenodo.1490117,1
Stingray,doi.org/10.5281/zenodo.1241187,0
Stingray,10.5281/zenodo.1241187,1
Stingray,doi.org/10.5281/zenodo.48383,0
Stingray,10.5281/zenodo.48383,1
TARDIS,TARDIS,0
TARDIS,tardis,0
TARDIS,TARDIS-SN,0
TARDIS,Tardis,0
TARDIS,2014ascl.soft02018K,1
TARDIS,ascl:1402.018,1
TARDIS,doi:10.1093/mnras/stu055,1
TARDIS,doi.org/10.1093/mnras/stu055,0
TARDIS,10.1093/mnras/stu055,1
TARDIS,tardis.readthedocs.io,0
TARDIS,github.com/tardis-sn/tardis,0
TARDIS,KerzendorfSim14,0
TARDIS,adsabs.harvard.edu/abs/2014ascl.soft02018K,0
TARDIS,ascl.net/1402.018,0
TARDIS,arxiv.org/abs/1401.5469,0
TARDIS,arxiv.org/pdf/1401.5469.pdf,0
TARDIS,arXiv:1401.5469,1
TARDIS,github.com/tardis-sn,0
TARDIS,doi.org/10.5281/zenodo.2240606,0
TARDIS,10.5281/zenodo.2240606,1
TARDIS,doi.org/10.5281/zenodo.1292315,0
TARDIS,10.5281/zenodo.1292315,1
TARDIS,doi.org/10.5281/zenodo.592480,0
TARDIS,10.5281/zenodo.592480,1
TARDIS,doi.org/10.5281/zenodo.17630,0
TARDIS,10.5281/zenodo.17630,1
TARDIS,doi.org/10.5281/zenodo.1213132,0
TARDIS,10.5281/zenodo.1213132,1
TARDIS,doi.org/10.5281/zenodo.1213671,0
TARDIS,10.5281/zenodo.1213671,1
TARDIS,doi.org/10.5281/zenodo.1213676,0
TARDIS,10.5281/zenodo.1213676,1
TARDIS,pypi.org/project/tardis-sn,0
WCS Tools,WCS Tools,0
WCS Tools,WCSTools,0
WCS Tools,wcs tools,0
WCS Tools,wcstools,0
WCS Tools,imwcs,0
WCS Tools,sky2xy,0
